 Time, durationA, durationB, comment,,,,,,
오후 4:26:45,127,132,,,,,,,
오후 4:26:45,129,139,,,,,,,
오후 4:26:45,129,139,,,,,,,
오후 4:26:45,129,139,,,,,,,
오후 4:26:45,135,143,,,,,,,
오후 4:26:45,135,143,,,,,,,
오후 4:26:45,136,134,,,,,,,
오후 4:26:45,136,134,,,,,,,
오후 4:26:45,127,139,,,,,,,
오후 4:26:45,127,139,,,,,,,
오후 4:26:45,130,125,,,,,,,
오후 4:26:45,130,125,,,,,,,
오후 4:26:46,134,128,,,,,,,
오후 4:26:46,134,128,,,,,,,
오후 4:26:46,135,142,,,,,,,
오후 4:26:46,135,142,,,,,,,
오후 4:26:46,140,134,,,,,,,
오후 4:26:46,140,134,,,,,,,
오후 4:26:46,140,135,,,,,,,
오후 4:26:46,140,135,,,,,,,
오후 4:26:46,139,137,,,,,,,
오후 4:26:46,139,137,,,,,,,
오후 4:26:46,140,138,,,,,,,
오후 4:26:46,140,138,,,,,,,
오후 4:26:46,148,141,,,,,,,
오후 4:26:46,148,141,,,,,,,
오후 4:26:46,143,139,,,,,,,
오후 4:26:46,143,139,,,,,,,
오후 4:26:46,144,140,,,,,,,
오후 4:26:46,144,140,,,,,,,
오후 4:26:46,149,143,,,,,,,
오후 4:26:46,149,143,,,,,,,
오후 4:26:46,223,222,,,,,,,
오후 4:26:46,223,222,,,,,,,
오후 4:26:46,223,150,,,,,,,
오후 4:26:46,223,150,,,,,,,
오후 4:26:46,152,148,,,,,,,
오후 4:26:46,152,148,,,,,,,
오후 4:26:46,158,159,,,,,,,
오후 4:26:46,158,159,,,,,,,
오후 4:26:46,163,222,,,,,,,
오후 4:26:46,163,222,,,,,,,
오후 4:26:46,223,222,,,,,,,
오후 4:26:46,223,222,,,,,,,
오후 4:26:54,,,IN,,,,,,
오후 4:26:54,223,222,,,,,,,
오후 4:26:54,223,222,,,,,,,
오후 4:26:54,223,222,,,,,,,
오후 4:26:54,128,222,,,,,,,
오후 4:26:54,223,222,,,,,,,
오후 4:26:54,223,222,,,,,,,
오후 4:26:54,223,222,,,,,,,
오후 4:26:54,138,222,,,,,,,
오후 4:26:54,223,223,,,,,,,
오후 4:26:54,223,223,,,,,,,
오후 4:26:54,223,223,,,,,,,
오후 4:26:54,144,133,,,,,,,
오후 4:26:54,138,222,,,,,,,
오후 4:26:54,138,222,,,,,,,
오후 4:26:54,138,222,,,,,,,
오후 4:26:54,142,223,,,,,,,
오후 4:26:54,144,133,,,,,,,
오후 4:26:54,144,133,,,,,,,
오후 4:26:54,144,133,,,,,,,
오후 4:26:54,128,122,,,,,,,
오후 4:26:54,142,223,,,,,,,
오후 4:26:54,142,223,,,,,,,
오후 4:26:54,142,223,,,,,,,
오후 4:26:54,128,121,,,,,,,
오후 4:26:54,128,122,,,,,,,
오후 4:26:54,128,122,,,,,,,
오후 4:26:54,128,122,,,,,,,
오후 4:26:54,145,139,,,,,,,
오후 4:26:54,145,139,,,,,,,
오후 4:26:54,145,139,,,,,,,
오후 4:26:54,128,119,,,,,,,
오후 4:26:54,128,119,,,,,,,
오후 4:26:54,118,132,,,,,,,
오후 4:26:54,118,132,,,,,,,
오후 4:26:54,117,124,,,,,,,
오후 4:26:54,117,124,,,,,,,
오후 4:26:54,114,112,,,,,,,
오후 4:26:54,114,112,,,,,,,
오후 4:26:54,112,113,,,,,,,
오후 4:26:54,112,113,,,,,,,
오후 4:26:54,112,112,,,,,,,
오후 4:26:54,112,112,,,,,,,
오후 4:26:55,110,114,,,,,,,
오후 4:26:55,110,114,,,,,,,
오후 4:26:55,111,115,,,,,,,
오후 4:26:55,111,115,,,,,,,
오후 4:26:55,113,116,,,,,,,
오후 4:26:55,113,116,,,,,,,
오후 4:26:55,114,114,,,,,,,
오후 4:26:55,114,114,,,,,,,
오후 4:26:55,114,115,,,,,,,
오후 4:26:55,114,115,,,,,,,
오후 4:26:55,116,119,,,,,,,
오후 4:26:55,116,119,,,,,,,
오후 4:26:55,118,127,,,,,,,
오후 4:26:55,118,127,,,,,,,
오후 4:26:55,116,118,,,,,,,
오후 4:26:55,116,118,,,,,,,
오후 4:26:55,114,121,,,,,,,
오후 4:26:55,114,121,,,,,,,
오후 4:26:55,116,121,,,,,,,
오후 4:26:55,116,121,,,,,,,
오후 4:26:55,116,120,,,,,,,
오후 4:26:55,116,120,,,,,,,
오후 4:26:55,120,130,,,,,,,
오후 4:26:55,120,130,,,,,,,
오후 4:26:55,133,223,,,,,,,
오후 4:26:55,133,223,,,,,,,
오후 4:26:55,126,222,,,,,,,
오후 4:26:55,126,222,,,,,,,
오후 4:26:55,129,222,,,,,,,
오후 4:26:55,129,222,,,,,,,
오후 4:26:55,130,222,,,,,,,
오후 4:26:55,130,222,,,,,,,
오후 4:26:55,129,223,,,,,,,
오후 4:26:55,129,223,,,,,,,
오후 4:26:55,129,135,,,,,,,
오후 4:26:55,129,135,,,,,,,
오후 4:26:55,155,223,,,,,,,
오후 4:26:55,155,223,,,,,,,
오후 4:26:56,136,223,,,,,,,
오후 4:26:56,136,223,,,,,,,
오후 4:26:56,223,223,,,,,,,
오후 4:26:56,223,223,,,,,,,
오후 4:26:56,223,224,,,,,,,
오후 4:26:56,223,224,,,,,,,
오후 4:26:56,223,222,,,,,,,
오후 4:26:56,223,222,,,,,,,
오후 4:26:56,,,OUT,,,,,,
오후 4:27:01,224,223,,,,,,,
오후 4:27:01,224,223,,,,,,,
오후 4:27:01,224,223,,,,,,,
오후 4:27:01,131,223,,,,,,,
오후 4:27:01,223,223,,,,,,,
오후 4:27:01,223,223,,,,,,,
오후 4:27:01,223,223,,,,,,,
오후 4:27:01,129,223,,,,,,,
오후 4:27:01,131,223,,,,,,,
오후 4:27:01,131,223,,,,,,,
오후 4:27:01,131,223,,,,,,,
오후 4:27:02,125,223,,,,,,,
오후 4:27:02,125,223,,,,,,,
오후 4:27:02,125,223,,,,,,,
오후 4:27:02,120,223,,,,,,,
오후 4:27:02,120,223,,,,,,,
오후 4:27:02,115,116,,,,,,,
오후 4:27:02,115,116,,,,,,,
오후 4:27:02,110,115,,,,,,,
오후 4:27:02,110,115,,,,,,,
오후 4:27:02,109,146,,,,,,,
오후 4:27:02,109,146,,,,,,,
오후 4:27:02,115,121,,,,,,,
오후 4:27:02,115,121,,,,,,,
오후 4:27:02,115,115,,,,,,,
오후 4:27:02,115,115,,,,,,,
오후 4:27:02,118,117,,,,,,,
오후 4:27:02,118,117,,,,,,,
오후 4:27:02,121,117,,,,,,,
오후 4:27:02,121,117,,,,,,,
오후 4:27:02,122,120,,,,,,,
오후 4:27:02,122,120,,,,,,,
오후 4:27:02,124,121,,,,,,,
오후 4:27:02,124,121,,,,,,,
오후 4:27:02,129,125,,,,,,,
오후 4:27:02,129,125,,,,,,,
오후 4:27:02,132,128,,,,,,,
오후 4:27:02,132,128,,,,,,,
오후 4:27:02,143,135,,,,,,,
오후 4:27:02,143,135,,,,,,,
오후 4:27:02,165,159,,,,,,,
오후 4:27:02,165,159,,,,,,,
오후 4:27:02,163,222,,,,,,,
오후 4:27:02,163,222,,,,,,,
오후 4:27:02,223,222,,,,,,,
오후 4:27:02,223,222,,,,,,,
오후 4:27:02,,,IN,,,,,,
오후 4:27:09,155,152,,,,,,,
오후 4:27:09,155,152,,,,,,,
오후 4:27:09,155,152,,,,,,,
오후 4:27:09,151,147,,,,,,,
오후 4:27:09,165,151,,,,,,,
오후 4:27:09,165,151,,,,,,,
오후 4:27:09,165,151,,,,,,,
오후 4:27:09,150,145,,,,,,,
오후 4:27:09,151,147,,,,,,,
오후 4:27:09,151,147,,,,,,,
오후 4:27:09,151,147,,,,,,,
오후 4:27:09,141,139,,,,,,,
오후 4:27:09,141,139,,,,,,,
오후 4:27:09,141,139,,,,,,,
오후 4:27:09,135,137,,,,,,,
오후 4:27:09,135,137,,,,,,,
오후 4:27:09,138,129,,,,,,,
오후 4:27:09,138,129,,,,,,,
오후 4:27:09,126,136,,,,,,,
오후 4:27:09,126,136,,,,,,,
오후 4:27:09,124,126,,,,,,,
오후 4:27:09,124,126,,,,,,,
오후 4:27:09,122,126,,,,,,,
오후 4:27:09,122,126,,,,,,,
오후 4:27:09,123,130,,,,,,,
오후 4:27:09,123,130,,,,,,,
오후 4:27:09,125,125,,,,,,,
오후 4:27:09,125,125,,,,,,,
오후 4:27:09,124,170,,,,,,,
오후 4:27:09,124,170,,,,,,,
오후 4:27:10,121,222,,,,,,,
오후 4:27:10,121,222,,,,,,,
오후 4:27:10,118,119,,,,,,,
오후 4:27:10,118,119,,,,,,,
오후 4:27:10,117,154,,,,,,,
오후 4:27:10,117,154,,,,,,,
오후 4:27:10,118,123,,,,,,,
